time;Portata [Nm3/h];%CH4;LHV [kWh/Nm3];Pin [kW];;;
327;369;60;5,964;298,2;;;
328;369;60;5,964;298,2;;;
329;369;60;5,964;298,2;;;
330;369;60;5,964;298,2;;;
331;369;60;5,964;298,2;;;
332;369;60;5,964;298,2;;;
333;369;60;5,964;298,2;;;
334;369;60;5,964;298,2;;;
335;369;60;5,964;298,2;;;
336;369;60;5,964;298,2;;;
337;369;60;5,964;298,2;;;
338;369;60;5,964;298,2;;;
339;369;60;5,964;298,2;;;
340;369;60;5,964;298,2;;;
341;369;60;5,964;298,2;;;
342;369;60;5,964;298,2;;;
343;369;60;5,964;298,2;;;
344;369;60;5,964;298,2;;;
345;369;60;5,964;298,2;;;
346;369;60;5,964;298,2;;;
347;369;60;5,964;298,2;;;
348;369;60;5,964;298,2;;;
349;369;60;5,964;298,2;;;
350;369;60;5,964;298,2;;;
351;369;60;5,964;298,2;;;
352;369;60;5,964;298,2;;;
353;369;60;5,964;298,2;;;
354;369;60;5,964;298,2;;;
355;369;60;5,964;298,2;;;
356;369;60;5,964;298,2;;;
357;369;60;5,964;298,2;;;
358;369;60;5,964;298,2;;;
359;369;60;5,964;298,2;;;
360;369;60;5,964;298,2;;;
361;369;60;5,964;298,2;;;
362;369;60;5,964;298,2;;;
363;369;60;5,964;298,2;;;
364;369;60;5,964;298,2;;;
365;369;60;5,964;298,2;;;
366;369;60;5,964;298,2;;;
367;369;60;5,964;298,2;;;
368;369;60;5,964;298,2;;;
369;369;60;5,964;298,2;;;
370;369;60;5,964;298,2;;;
371;369;60;5,964;298,2;;;
372;369;60;5,964;298,2;;;
373;369;60;5,964;298,2;;;
374;369;60;5,964;298,2;;;
375;369;60;5,964;298,2;;;
376;369;60;5,964;298,2;;;
377;369;60;5,964;298,2;;;
378;369;60;5,964;298,2;;;
379;369;60;5,964;298,2;;;
380;369;60;5,964;298,2;;;
381;369;60;5,964;298,2;;;
382;369;60;5,964;298,2;;;
383;369;60;5,964;298,2;;;
384;369;60;5,964;298,2;;;
385;369;60;5,964;298,2;;;
386;369;60;5,964;298,2;;;
387;369;60;5,964;298,2;;;
388;369;60;5,964;298,2;;;
389;369;60;5,964;298,2;;;
390;369;60;5,964;298,2;;;
391;369;60;5,964;298,2;;;
392;369;60;5,964;298,2;;;
393;369;60;5,964;298,2;;;
394;369;60;5,964;298,2;;;
395;369;60;5,964;298,2;;;
396;369;60;5,964;298,2;;;
397;369;60;5,964;298,2;;;
398;369;60;5,964;298,2;;;
399;369;60;5,964;298,2;;;
