time;P;G(i);H_sun;T2m;WS10m;Int
20200106:2110;0.0;0.0;0.0;-0.34;0.69;0.0
20200106:2210;0.0;0.0;0.0;-0.44;0.55;0.0
20200106:2310;0.0;0.0;0.0;0.24;0.41;0.0
20200107:0010;0.0;0.0;0.0;-0.08;0.34;0.0
20200107:0110;0.0;0.0;0.0;-0.32;0.34;0.0
20200107:0210;0.0;0.0;0.0;-1.05;0.28;0.0
20200107:0310;0.0;0.0;0.0;-1.12;0.28;0.0
20200107:0410;0.0;0.0;0.0;-1.33;0.41;0.0
20200107:0510;0.0;0.0;0.0;-1.4;0.34;0.0
20200107:0610;0.0;0.0;0.0;-1.04;0.14;0.0
20200107:0710;0.0;0.0;0.0;-0.59;0.41;0.0
20200107:0810;54.32;76.94;8.81;0.65;0.41;0.0
20200107:0910;136.77;168.81;15.64;2.05;0.41;0.0
20200107:1010;402.29;470.32;20.45;4.13;0.83;0.0
20200107:1110;719.7;871.64;22.77;4.6;1.03;0.0
20200107:1210;703.84;853.49;22.34;5.83;1.17;0.0
20200107:1310;620.15;741.26;19.21;6.13;1.31;0.0
20200107:1410;457.03;536.29;13.73;5.72;1.31;0.0
20200107:1510;275.36;326.62;6.39;5.1;1.31;0.0
20200107:1610;0.0;0.0;0.0;3.89;1.17;0.0
20200107:1710;0.0;0.0;0.0;2.35;1.1;0.0
20200107:1810;0.0;0.0;0.0;1.48;1.1;0.0
20200107:1910;0.0;0.0;0.0;0.46;1.45;0.0
20200107:2010;0.0;0.0;0.0;0.58;1.59;0.0
20200107:2110;0.0;0.0;0.0;0.71;1.66;0.0
20200107:2210;0.0;0.0;0.0;1.05;1.86;0.0
20200107:2310;0.0;0.0;0.0;1.13;1.79;0.0
20200108:0010;0.0;0.0;0.0;0.05;1.72;0.0
20200108:0110;0.0;0.0;0.0;-0.35;1.52;0.0
20200108:0210;0.0;0.0;0.0;-1.28;1.45;0.0
20200108:0310;0.0;0.0;0.0;-1.53;1.24;0.0
20200108:0410;0.0;0.0;0.0;-1.46;1.1;0.0
20200108:0510;0.0;0.0;0.0;-1.01;1.03;0.0
20200108:0610;0.0;0.0;0.0;-0.58;0.9;0.0
20200108:0710;0.0;0.0;0.0;-0.05;0.97;0.0
20200108:0810;294.93;349.89;8.87;2.09;0.76;0.0
20200108:0910;493.37;580.85;15.72;3.62;0.69;0.0
20200108:1010;622.8;758.41;20.55;7.61;0.76;0.0
20200108:1110;670.49;824.3;22.9;8.54;0.97;0.0
20200108:1210;671.28;828.75;22.49;9.57;1.03;0.0
20200108:1310;608.35;747.69;19.37;10.13;0.83;0.0
20200108:1410;444.31;536.81;13.89;9.58;0.41;0.0
20200108:1510;299.28;363.22;6.55;9.15;0.41;0.0
20200108:1610;0.0;0.0;0.0;8.44;0.48;0.0
20200108:1710;0.0;0.0;0.0;7.4;0.41;0.0
20200108:1810;0.0;0.0;0.0;6.74;0.97;0.0
20200108:1910;0.0;0.0;0.0;4.09;0.21;0.0
20200108:2010;0.0;0.0;0.0;3.84;0.14;0.0
20200108:2110;0.0;0.0;0.0;3.4;0.41;0.0
20200108:2210;0.0;0.0;0.0;3.28;0.69;0.0
20200108:2310;0.0;0.0;0.0;2.81;1.1;0.0
20200109:0010;0.0;0.0;0.0;1.98;1.38;0.0
20200109:0110;0.0;0.0;0.0;1.66;1.59;0.0
20200109:0210;0.0;0.0;0.0;0.69;1.66;0.0
20200109:0310;0.0;0.0;0.0;0.39;1.66;0.0
20200109:0410;0.0;0.0;0.0;-0.11;1.72;0.0
20200109:0510;0.0;0.0;0.0;-0.16;1.79;0.0
20200109:0610;0.0;0.0;0.0;-0.28;1.79;0.0
20200109:0710;0.0;0.0;0.0;0.76;1.66;0.0
20200109:0810;298.27;352.18;8.93;2.1;1.45;0.0
20200109:0910;486.01;573.12;15.8;5.02;1.03;0.0
20200109:1010;611.55;742.64;20.66;8.36;1.03;0.0
20200109:1110;670.9;815.31;23.03;8.7;1.66;0.0
20200109:1210;543.52;648.41;22.64;9.29;2.14;0.0
20200109:1310;578.1;687.86;19.53;9.5;2.69;0.0
20200109:1410;425.89;500.2;14.06;8.7;2.76;0.0
20200109:1510;316.17;376.25;6.71;8.01;2.28;0.0
20200109:1610;0.0;0.0;0.0;6.71;2.07;0.0
20200109:1710;0.0;0.0;0.0;5.43;1.93;0.0
20200109:1810;0.0;0.0;0.0;4.75;2.14;0.0
20200109:1910;0.0;0.0;0.0;4.52;2.14;0.0
20200109:2010;0.0;0.0;0.0;4.99;2.0;0.0
20200109:2110;0.0;0.0;0.0;5.12;2.0;0.0
20200109:2210;0.0;0.0;0.0;5.66;2.07;0.0
20200109:2310;0.0;0.0;0.0;6.61;2.28;0.0
20200110:0010;0.0;0.0;0.0;6.67;2.34;0.0
20200110:0110;0.0;0.0;0.0;6.51;2.28;0.0
20200110:0210;0.0;0.0;0.0;5.89;2.28;0.0
20200110:0310;0.0;0.0;0.0;5.47;2.07;0.0
20200110:0410;0.0;0.0;0.0;5.37;1.86;0.0
20200110:0510;0.0;0.0;0.0;5.46;1.66;0.0
20200110:0610;0.0;0.0;0.0;5.12;1.45;0.0
20200110:0710;0.0;0.0;0.0;4.54;1.03;0.0
20200110:0810;36.23;56.81;9.0;5.42;0.62;0.0
20200110:0910;461.65;549.42;15.89;6.42;0.69;0.0
20200110:1010;130.49;165.26;20.77;6.64;0.83;0.0
20200110:1110;284.26;337.41;23.17;6.17;0.9;0.0
20200110:1210;324.54;384.62;22.79;6.68;0.83;0.0
20200110:1310;196.79;240.01;19.7;7.51;0.62;0.0
20200110:1410;457.03;546.27;14.23;7.03;0.34;0.0
20200110:1510;85.93;114.75;6.89;6.84;0.41;0.0
20200110:1610;0.0;0.0;0.0;6.12;0.69;0.0
20200110:1710;0.0;0.0;0.0;5.0;0.83;0.0
20200110:1810;0.0;0.0;0.0;4.59;0.69;0.0
20200110:1910;0.0;0.0;0.0;5.31;0.07;0.0
20200110:2010;0.0;0.0;0.0;5.11;0.21;0.0
20200110:2110;0.0;0.0;0.0;3.92;0.28;0.0
20200110:2210;0.0;0.0;0.0;2.8;0.21;0.0
20200110:2310;0.0;0.0;0.0;3.36;0.14;0.0
20200111:0010;0.0;0.0;0.0;2.82;0.0;0.0
20200111:0110;0.0;0.0;0.0;1.98;0.14;0.0
20200111:0210;0.0;0.0;0.0;1.16;0.14;0.0
20200111:0310;0.0;0.0;0.0;0.48;0.14;0.0
20200111:0410;0.0;0.0;0.0;0.11;0.34;0.0
20200111:0510;0.0;0.0;0.0;-0.12;0.41;0.0
20200111:0610;0.0;0.0;0.0;-0.42;0.55;0.0
20200111:0710;0.0;0.0;0.0;1.15;0.76;0.0
20200111:0810;303.15;359.57;9.08;2.07;0.76;0.0
20200111:0910;495.27;584.16;15.99;4.14;0.76;0.0
20200111:1010;624.37;756.76;20.9;7.38;0.97;0.0
20200111:1110;694.75;846.59;23.31;8.1;1.52;0.0
20200111:1210;705.92;860.38;22.95;8.93;1.86;0.0
20200111:1310;647.1;781.0;19.87;9.23;2.0;0.0
20200111:1410;518.17;614.47;14.41;8.45;2.0;0.0
20200111:1510;326.93;389.22;7.06;7.64;1.72;0.0
20200111:1610;0.0;0.0;0.0;6.01;1.66;0.0
20200111:1710;0.0;0.0;0.0;4.39;1.45;0.0
20200111:1810;0.0;0.0;0.0;3.15;1.24;0.0
20200111:1910;0.0;0.0;0.0;3.28;0.97;0.0
20200111:2010;0.0;0.0;0.0;2.6;1.03;0.0
20200111:2110;0.0;0.0;0.0;2.0;0.97;0.0
20200111:2210;0.0;0.0;0.0;1.8;0.9;0.0
20200111:2310;0.0;0.0;0.0;2.29;0.83;0.0
20200112:0010;0.0;0.0;0.0;1.91;0.9;0.0
20200112:0110;0.0;0.0;0.0;1.62;0.9;0.0
20200112:0210;0.0;0.0;0.0;0.82;0.9;0.0
20200112:0310;0.0;0.0;0.0;0.23;0.97;0.0
20200112:0410;0.0;0.0;0.0;-0.37;1.03;0.0
20200112:0510;0.0;0.0;0.0;-0.58;1.03;0.0
20200112:0610;0.0;0.0;0.0;-0.84;1.03;0.0
20200112:0710;0.0;0.0;0.0;-1.25;1.1;0.0
20200112:0810;309.62;363.12;9.16;0.12;1.03;0.0
