time;Potenza [kW]
685;2435.9
686;2332.45
687;2399.9
688;2422.15
689;2432.1
690;2475.15
691;2571.90005
692;2527.8
693;2382.70005
694;2211.75005
695;1996.44995
696;1788.69995
697;1602.5
698;1485.4
699;1416.75005
700;1393.75
701;1397.00005
702;1481.6
703;1709.19995
704;2110.45005
705;2400.85005
706;2550.65005
707;2571.20005
708;2568.19995
709;2483.95
710;2395.25005
711;2467.10005
712;2500.6
713;2529.5
714;2513.14995
715;2575.90005
716;2524.85
717;2388.39995
718;2216.35
719;1993.84995
720;1803.8
721;1604.7
722;1477.35
723;1400.25
724;1378.4
725;1383.75005
726;1468.85005
727;1687.45
728;2101.7
729;2386.25
730;2554.99995
731;2567.65005
732;2557.25
733;2453.90005
734;2331.79995
735;2383.09995
736;2452.44995
737;2488.85
738;2520.05
739;2578.34995
740;2524.85
741;2376.05
742;2198.14995
743;1977.35
744;1765.25005
745;1640.85
746;1499.74995
747;1427.75005
748;1410.24995
749;1403.85
750;1464.9
751;1712.64995
752;2110
753;2400
754;2553.45005
755;2568.39995
756;2574.30005
757;2492.5
758;2400.60005
759;2468.90005
760;2488.65
761;2479.75005
762;2486.6
763;2525.20005
764;2502.04995
765;2359.05005
766;2172.25
767;1951.70005
768;1768.4
769;1577.05
770;1440.00005
771;1374.40005
772;1337.75
773;1326.05005
774;1362.95
775;1457.75005
776;1658.05005
777;1806.5
778;1977.8
779;2042.75005
780;2017.55
781;1945.6
782;1833.55005
783;1809.25
784;1789.7
785;1822.80005
786;1899.5
787;2051.19995
788;2102.19995
789;1995.6
790;1841.35005
791;1671.95
792;1534.25
793;1414.8
794;1312.09995
795;1227.65
796;1188.55
797;1172.14995
798;1187.89995
799;1224.25
800;1288.15
801;1378.15
802;1506.15
803;1600.29995
804;1643.04995
805;1670.05005
806;1567.25
807;1504.24995
808;1527.25
809;1534.05
810;1600.99995
811;1841.5
812;1926.49995
813;1899.9
814;1798.75
815;1665.7
816;1500.54995
817;1348.15
818;1249.4
819;1215.25
820;1194.95
821;1217.45
822;1282
823;1599.0501
824;2008.00005
825;2328.95005
826;2492.60005
827;2506.5
828;2469.2
829;2389.80005
830;2323.90005
831;2383.90005
832;2403.7
833;2394.85
834;2423.3
835;2519.2
836;2477.3
837;2354.45
838;2211.85005
839;1988.35005
840;1789.69995
841;1603.49995
842;1491.39995
843;1413.44995
844;1387.65
845;1397.24995
846;1452.5
847;1701.75
848;2110.60005
849;2385.99995
850;2563.5
851;2543.95
852;2518.5
853;2405.24995
854;2297.8
855;2343.05
856;2363.35
857;2370.8
858;2375.99995
859;2529.4
860;2506.64995
861;2391.34995
862;2219.7
863;1967.25
864;1750.25
865;1577.65
866;1450
867;1390.9
868;1364.85005
869;1387.9
870;1439.1
871;1698.4
872;2113.34995
873;2393.34995
874;2516.55
875;2489.8
876;2449.3
877;2340.45005
878;2242.64995
879;2290.29995
880;2319.3
881;2340.69995
882;2377.95
883;2535
884;2533.74995
885;2399.9
886;2231.54995
887;2008.25
888;1789.45
889;1615.85
890;1476.64995
891;1392.75
892;1391.90005
893;1394.04995
894;1468.10005
895;1715.04995
896;2112.59995
897;2381.65
898;2515.89995
899;2484.45
900;2439.8
901;2336.25005
902;2244.45
903;2315.75005
904;2370.6
905;2422.85
906;2436.60005
907;2596.15
908;2556.39995
909;2404.5
910;2241
911;2025.64995
912;1828.3
913;1636.3
914;1504.4
915;1439.20005
916;1420.25
917;1420.84995
918;1495
919;1740.0501
920;2127.2
921;2388.05
922;2542.45
923;2522.35
924;2445.6
925;2297
926;2203.74995
927;2281.4
928;2312.25
929;2314.8
930;2342.15
931;2525.25005
932;2505.7
933;2364.29995
934;2191.65
935;1983.44995
936;1772.95
937;1618.99995
938;1500.14995
939;1410.45
940;1396.9
941;1379.99995
942;1395.74995
943;1515.35
944;1705.49995
945;1854.75
946;1986.9
947;1965.75
948;1892.3
949;1765.4
950;1702.6
951;1653.84995
952;1655.05
953;1702.25
954;1794.14995
955;2045.9
956;2110.95
957;1994.25
958;1824.45
959;1678.7
960;1553.04995
961;1405.1
962;1295.2
963;1215.15
964;1168.15005
965;1136
966;1153.35
967;1203.3
968;1276.2
969;1359.99995
970;1480.45
971;1546.45
972;1579.75
973;1645.04995
974;1580.34995
975;1490.65
976;1484.45
977;1492
978;1556.95
979;1781.69995
980;1867.49995
981;1832.65
982;1745.95
983;1606.40005
984;1460.15
985;1300.2
986;1187.8
987;1160.6
988;1134.35
989;1149.44995
990;1234.84995
991;1527.1
992;1934.40005
993;2245.20005
994;2391.9
995;2352.59995
996;2328.05
997;2220.25
998;2230.65
999;2303.2
1000;2317.80005
1001;2352.5
1002;2342.4
1003;2437.64995
1004;2415.79995
1005;2280.85
1006;2140.6
1007;1899.65005
1008;1689.6
1009;1520.15
1010;1387.54995
1011;1328.9
1012;1321.40005
1013;1338.5
1014;1421.3
1015;1677.90005
1016;2063.79995
1017;2355.1
1018;2448.7
1019;2417.8999
1020;2409.85
1021;2261.29995
1022;2193.65
1023;2261
1024;2320.15
1025;2341.00005
1026;2332.35005
1027;2490.60005
1028;2486.35005
1029;2357.85
1030;2187.2
1031;1954.8
1032;1764.99995
1033;1552.9
1034;1451.9
1035;1374.95
1036;1371.29995
1037;1369.49995
1038;1458.04995
1039;1700.54995
1040;2078.75
1041;2395.4
1042;2499.85
1043;2475.45005
1044;2414.00005
1045;2314.89995
1046;2226.05
1047;2254.9
1048;2298.1
1049;2333.5
1050;2349.30005
1051;2515.94995
1052;2520.95
1053;2385.75
1054;2203
1055;1985.09995
1056;1756.4
1057;1575.05
1058;1461.54995
1059;1402.1
1060;1366.49995
1061;1386.9
1062;1444.5
1063;1695.50005
1064;2065.30005
1065;2331.7999
1066;2441.19995
1067;2416.2
1068;2364.94995
1069;2249.64995
1070;2155.05
1071;2239.05
1072;2260.1
1073;2316.35005
1074;2313.95
1075;2470.8
1076;2492.75
1077;2354.8
1078;2176.2
1079;1952.20005
1080;1759.4
1081;1596.7
1082;1453.95
1083;1386.04995
1084;1347.15005
1085;1362.5
1086;1450.85005
1087;1686.54995
1088;2048.20005
1089;2308.55
1090;2426.5
1091;2367.9
1092;2332.45
1093;2248.7
1094;2156.9
1095;2209.3
1096;2246.49995
1097;2261.35
1098;2251.35005
1099;2397.70005
1100;2429.60005
1101;2296.2
1102;2120.35005
1103;1908.49995
1104;1716.64995
1105;1542
1106;1411.09995
1107;1329.35005
1108;1297.5
1109;1301.1
1110;1329.25
1111;1435.50005
1112;1616.5
1113;1773.20005
1114;1906.30005
1115;1891.35
1116;1838.5
1117;1742.1
1118;1652.35
1119;1606.24995
1120;1617.5501
1121;1648.84995
1122;1710.09995
1123;1981.44995
1124;2066.1
1125;1962.95005
1126;1816.29995
1127;1665.05
1128;1512.45
1129;1387.2
